Food and Serving,Protein,Calories,Total Fat,Sodium,Total Carbo-hydrate,Dietary Fiber,Vitamin A,Vitamin C,Calcium,Iron
,(g),(Cal),(g),(g),(g),(g),(g),(g),(g),(g)
"Asparagus, 5 spears (93 g/3.3 oz)",2,20,0,0,4,2,0.00008,0.009,0.022,0.00028
"Bell Pepper, 1 medium (148 g/5.3 oz)",1,25,0,0.04,6,2,0.000032,0.114,0.022,0.00056
"Broccoli, 1 medium stalk (148 g/5.3 oz)",4,45,0.5,0.08,8,3,0.000048,0.132,0.066,0.00084
"Carrot, 1 carrot, 7"" long,?1 1/4"" diameter (78 g/2.8 oz)",1,30,0,0.06,7,2,0.00088,0.006,0.022,0.00028
"Cauliflower, 1/6 medium head (99 g/3.5 oz)",2,25,0,0.03,5,2,0,0.06,0.022,0.00028
"Celery, 2 medium stalks (110 g/3.9 oz)",0,15,0,0.115,4,2,0.00008,0.009,0.044,0.00028
"Cucumber, 1/3 medium (99 g/3.5 oz)",1,10,0,0,2,1,0.000032,0.006,0.022,0.00028
"Green (Snap) Beans, 3/4 cup cut (83 g/3.0 oz)",1,20,0,0,5,3,0.000032,0.006,0.044,0.00028
"Green?Cabbage, 1/12 medium head (84 g/3.0 oz)",1,25,0,0.02,5,2,0,0.042,0.044,0.00028
"Green Onion, 1/4 cup chopped (25 g/0.9 oz)",0,10,0,0.01,2,1,0.000016,0.0048,0.022,0.00028
"Iceberg Lettuce, 1/6 medium head (89 g/3.2 oz)",1,10,0,0.01,2,1,0.000048,0.0036,0.022,0.00028
"Leaf Lettuce, 1 1/2 cups shredded (85 g/3.0 oz)",1,15,0,0.035,2,1,0.00104,0.0036,0.022,0.00056
"Mushrooms, 5 medium (84 g/3.0 oz)",3,20,0,0.015,3,1,0,0.0012,0,0.00028
"Onion, 1 medium (148 g/5.3 oz)",1,45,0,0.005,11,3,0,0.012,0.044,0.00056
"Potato, 1 medium (148 g/5.3 oz)",3,110,0,0,26,2,0,0.027,0.022,0.00084
"Radishes, 7 radishes (85 g/3.0 oz)",0,10,0,0.055,3,1,0,0.018,0.022,0.00028
"Summer?Squash, 1/2 medium (98 g/3.5 oz)",1,20,0,0,4,2,0.000048,0.018,0.022,0.00028
"Sweet Corn, kernels from 1?medium ear (90 g/3.2 oz)",4,90,2.5,0,18,2,0.000016,0.006,0,0.00028
"Sweet Potato, 1 medium, 5"" long,?2"" diameter (130 g/4.6 oz)",2,100,0,0.07,23,4,0.00096,0.018,0.044,0.00056
"Tomato, 1 medium (148 g/5.3 oz)",1,25,0,0.02,5,1,0.00016,0.024,0.022,0.00056
"Apple, 1 large (242 g/8 oz)",1,130,0,0,34,5,0.000016,0.0048,0.022,0.00028
"Avocado, California,1/5 medium (30 g/1.1 oz)",1,50,4.5,0,3,1,0,0.0024,0,0.00028
"Banana, 1 medium (126 g/4.5 oz)",1,110,0,0,30,3,0.000016,0.009,0,0.00028
"Cantaloupe, 1/4 medium (134 g/4.8 oz)",1,50,0,0.02,12,1,0.00096,0.048,0.022,0.00028
"Grapefruit, 1/2 medium, (154 g/5.5 oz)",1,60,0,0,15,2,0.00028,0.06,0.044,0
"Grapes, 3/4 cup (126 g/4.5 oz)",0,90,0,0.015,23,1,0,0.0012,0.022,0
Honeydew?Melon 1/10 medium?melon  (134 g/4.8 oz),1,50,0,0.03,12,1,0.000016,0.027,0.022,0.00028
"Kiwifruit, 2 medium (148 g/5.3 oz)",1,90,1,0,20,4,0.000016,0.144,0.044,0.00028
"Lemon, 1 medium (58 g/2.1 oz)",0,15,0,0,5,2,0,0.024,0.022,0
"Lime, 1 medium (67 g/2.4 oz)",0,20,0,0,7,2,0,0.021,0,0
"Nectarine, 1 medium (140 g/5.0 oz)",1,60,0.5,0,15,2,0.000064,0.009,0,0.00028
"Orange, 1 medium (154 g/5.5 oz)",1,80,0,0,19,3,0.000016,0.078,0.066,0
"Peach, 1 medium (147 g/5.3 oz)",1,60,0.5,0,15,2,0.000048,0.009,0,0.00028
"Pear, 1 medium (166 g/5.9 oz)",1,100,0,0,26,6,0,0.006,0.022,0
"Pineapple, 2 slices, 3"" diameter,?3/4"" thick",1,50,0,0.01,13,1,0.000016,0.03,0.022,0.00028
"Plums, 2 medium (151 g/5.4 oz)",1,70,0,0,19,2,0.000064,0.006,0,0.00028
"Strawberries, 8 medium (147 g/5.3 oz)",1,50,0,0,11,2,0,0.096,0.022,0.00028
Sweet?Cherries 21 cherries;?1 cup,1,100,0,0,26,1,0.000016,0.009,0.022,0.00028
"Tangerine, 1 medium (109 g/3.9 oz)",1,50,0,0,13,2,0.000048,0.027,0.044,0
"Watermelon, 1/18 medium melon; 2 cups diced pieces(280 g/",1,80,0,0,21,1,0.00024,0.015,0.022,0.00056
